,Date_InitialTag,Transect,TransectNum,OldTagNum,NewTagNum,Species,Meter,Meters_90,Direction,Size_Class,MaxDiameter,Height,Date_DocumentedDisease,Date_DocumentedMortality,Notes_062019,062019_Condition,062019_Percentage,Notes_052022,052022_Condition,052022_Percentage,Notes_122022,122022_Condition,122022_Percentage,Notes_092023,092023_Condition,092023_Percentage,Notes_112023,112023_Condition,112023_Percentage,Notes_122023,122023_Condition,122023_Percentage,Notes_012024,012024_Condition,012024_Percentage,Notes_022024,022024_Condition,022024_Percentage,Notes_042024,042024_Condition,042024_Percentage,062024_Condition,062024_Percentage,Notes_062024,082024_Condition,082024_Percentage,Notes_082024,122024_Condition,122024_Percentage,Notes_122024,062025_Condition,062025_Percentage,Notes_062025,immune_y/n,checked_colonies
1,6/21/19,CBC30N,1,349,1,SSID,1.5,0.5,right,5,45,24,5/21/22,Diseased,,Healthy,NA,NA,Diseased,NA,,Diseased,,,Diseased,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,not enough to sample,Diseased,,Not visited,Not_Visited,,,Diseased,,Not_Visited,,,Not_Visited,,,Not_visited,,Diseased,Diseased,,,n,x
2,6/21/19,CBC30N,1,334,2,PAST,1.4,0.1,left,4,33,8,Healthy,Healthy,5% old mort,Healthy,NA,fish predation,Healthy,NA,,Healthy,,snail predation ,"CLP,CLB","10%,90%",,CLB,100%,15% mort,CLB,100%,"40% mort, dark spots","CLP,CLB","10%,95%",90% mort from bleaching ,Healthy,,,Not_Visited,,Healthy,,95% mort,Healthy,,sample lower colony (original colony); inc old mort; too small for immune ,,,,Healthy,,,y,x
3,6/21/19,CBC30N,1,346,3,SSID,6.3,0.8,right,5,53,30,5/21/22,Diseased,,Healthy,NA,NA,Diseased,NA,,Healthy,,"80^Pale, 80% discoloration",Diseased,,"95% Pale, 5% Bleached (bleach spot has always been there)",CLP,100%,after review - changed to healthy;80% CLP,Healthy,,,Healthy,,,Diseased,,,Diseased,,Diseased,,"DC, sloughy, weird ssid disease",Diseased,,some discoloration ,DC,10%,30% mortality,Diseased,,,y,x
4,10/15/19,CBC30N,1,407,4,PSTR,6.5,0.5,right,3,44,39,5/21/22,12/2/22,,Healthy,NA,60% mort ,Diseased,NA,,Dead,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Dead,,Dead,Dead,,,n,x
5,6/24/19,CBC30N,1,394,5,SSID,4.3,1.2,left,5,65,27,5/21/22,Diseased,,Healthy,NA,NA,Diseased,NA,,Diseased,,,Diseased,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,no sample,Diseased,,Not visited,Not_Visited,,,Diseased,,Not_Visited,,,Not_Visited,,,DC,10%,80% mortality,Diseased,,,n,x
6,10/15/19,CBC30N,1,413,6,PSTR,8.3,1.75,left,NA,35,38,12/2/22,9/25/23,mucus_sample_taken_adjacent_to_punch,Healthy,NA,NA,Healthy,NA,40% mort,Diseased,,,Dead,,,Not_Visited,,,Not_Visited,,,Dead,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Dead,,,Dead,,,n,x
7,6/24/19,CBC30N,1,383,7,MCAV,6,1.7,right,3,32,20,Healthy,12/1/24,10% old mort,Healthy,NA,20% old mort ,Healthy,NA,,Healthy,,50% old mort,CLP,95%,,Not_Visited,,,Not_Visited,,90% old mort,Healthy,,,Not_Visited,,,Healthy,,Not_Visited,,,Not_Visited,,,Dead,,Dead,Dead,,,n,x
8,6/24/19,CBC30N,1,390,8,MCAV,11.2,0.8,right,3,35,30,5/21/22,9/25/23,mucus_sheaths,Healthy,NA,70% mort,Diseased,NA,90% mort,Diseased,,visited,Dead,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,,Not_Visited,,visited,Dead,,Not_Visited,,,Not_Visited,,,Not_visited,,,Dead,,,n,x
9,6/21/19,CBC30N,1,357,9,SSID,10.2,0.5,right,5,38,18,5/21/22,Diseased,,Healthy,NA,NA,Diseased,NA,,Diseased,,,Diseased,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,wrong coral photographed,Diseased,,Not visited,Not_Visited,,,Diseased,,Not_Visited,,,Not_Visited,,,Healthy,,95% mortality,Diseased,,,n,help (01 same coral?)
10,6/24/19,CBC30N,1,385,10,SSID,6,2.8,right,4,62,35,12/2/22,9/25/23,,Healthy,NA,NA,Diseased,NA,,Diseased,,Dead,Dead,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,Dead,,,n,x
11,6/24/19,CBC30N,1,391,11,SSID,13,0.8,left,3,39,31,5/21/22,Diseased,,Healthy,NA,NA,Diseased,NA,,Diseased,,,Diseased,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Diseased,,Not visited,Not_Visited,,,Diseased,,Not_Visited,,,Not_Visited,,,Healthy,,95% mortality,Diseased,,,n,x
