ID,diver,buddy,site_code,location_name,latitude,longitude,day,month,year,depth,code,scientific_name,max_diameter,max_height,percent_mortality,condition_code,percent_affected,distribution,rate_tissue_loss,coral_condition_notes,Count 
1519,Sarah Gignoux-Wolfsohn,Caroline DeSouza,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,18,SSID,Siderastrea siderea,18,6,70,TL,70,D,SA,,
1520,Sarah Gignoux-Wolfsohn,Caroline DeSouza,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,18,PAST,Porites astreoides,17,7,0,CLB,5,MF,,,
1521,Sarah Gignoux-Wolfsohn,Caroline DeSouza,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,18,SSID,Siderastrea siderea,8,2,50,TL,50,D,SA,,
1522,Sarah Gignoux-Wolfsohn,Caroline DeSouza,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,18,PAST,Porites astreoides,5,1,0,CLB,90,MF,,,
1523,Sarah Gignoux-Wolfsohn,Caroline DeSouza,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,18,PAST,Porites astreoides,8,1,0,CLB,40,F,,sponge,
1524,Sarah Gignoux-Wolfsohn,Caroline DeSouza,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,18,SSID,Siderastrea siderea,16,19,80,TL,80,D,SA,,
1525,Sarah Gignoux-Wolfsohn,Caroline DeSouza,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,18,PAST,Porites astreoides,15,10,0,CLB,5,MF,,,
1526,Sarah Gignoux-Wolfsohn,Caroline DeSouza,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,18,SSID,Siderastrea siderea,33,8,60,TL,60,D,SA,,
1527,Sarah Gignoux-Wolfsohn,Caroline DeSouza,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,18,OFAV,Orbicella faveolata,15,10,5,CLP,80,MF,,,
1528,Sarah Gignoux-Wolfsohn,Caroline DeSouza,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,18,SSID,Siderastrea siderea,22,18,70,TL,70,D,SA,,
1529,Sarah Gignoux-Wolfsohn,Caroline DeSouza,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,18,SSID,Siderastrea siderea,18,10,60,TL,60,D,SA,,
1530,Erin Shilling,Sarah Gignoux-Wolfsohn,CBC20,CBC 30 North,16.80406667,-88.07896667,30,5,2025,25,SSID,Siderastrea siderea,25,18,0,DC,100,W,,blue,
1531,Erin Shilling,Sarah Gignoux-Wolfsohn,CBC20,CBC 30 North,16.80406667,-88.07896667,30,5,2025,25,SSID,Siderastrea siderea,15,3,0,DC,100,W,,blue,
1532,Erin Shilling,Sarah Gignoux-Wolfsohn,CBC20,CBC 30 North,16.80406667,-88.07896667,30,5,2025,25,SSID,Siderastrea siderea,17,12,0,DC,100,W,,blue,
