ID,diver,buddy,site_code,location_name,latitude,longitude,day,month,year,depth,code,scientific_name,Total,juveniles_1_to_4_cm,isolate_1_to_4_cm,5_to_10_cm,11_to_20_cm,21_to_40_cm,41_to_80_cm,over_80_cm,0_recent_total_mortality,predation_bites,
,SGW,CCD,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,15,AAGA,Agaricia agaricites,16,1,,12,3,,,,,,
,SGW,CCD,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,15,ATEN,Agaricia tenuifolia,22,6,1,13,2,,,,,,
,SGW,CCD,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,15,EFAS,Eusmilia fastigiata,1,1,,,,,,,,,
,SGW,CCD,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,15,MCAV,Montrastraea cavernosa,4,,,,3,1,,,,,
,SGW,CCD,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,15,OFAV,Orbicella faveolata,6,,2,2,2,,,,,,
,SGW,CCD,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,15,OANN,Orbicella annularis,4,,,4,,,,,,,
,SGW,CCD,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,15,PAST,Porites astreoides,79,13,5,46,15,,,,,,
,SGW,CCD,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,15,PPOR,Porites porities,16,,1,12,,3,,,,,
,SGW,CCD,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,15,PSTR,Pseudodiploria strigosa,1,,,1,,,,,,,
,SGW,CCD,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,15,SSID,Siderastrea siderea,33,,10,11,8,4,,,,,
,SGW,CCD,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,15,SRAD,Siderastrea radians,1,1,,,,,,,,,
,SGW,CCD,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,15,SINT,Stephanocoenia intersepta,10,1,,6,3,,,,,,
,SGW,CCD,CBC3,CBC Lagoon Reef,16.80863,-88.0862,29,5,2025,15,PFUR,Porites furcata,6,,4,2,,,,,,,
163,Sarah Gignoux Wolfsohn,Erin Shilling,CBC20,CBC 30 North,16.80406667,-88.07896667,30,5,2025,25,AAGA,Agaricia agaricites,2,,,1,1,,,,,,
164,Sarah Gignoux Wolfsohn,Erin Shilling,CBC20,CBC 30 North,16.80406667,-88.07896667,30,5,2025,25,MDEC,Madracis decactis,2,,,1,1,,,,,,
165,Sarah Gignoux Wolfsohn,Erin Shilling,CBC20,CBC 30 North,16.80406667,-88.07896667,30,5,2025,25,MCAV,Montrastraea cavernosa,1,,,,1,,,,,,
166,Sarah Gignoux Wolfsohn,Erin Shilling,CBC20,CBC 30 North,16.80406667,-88.07896667,30,5,2025,25,OFAV,Orbicella faveolata,2,,,,1,1,,,,,
167,Sarah Gignoux Wolfsohn,Erin Shilling,CBC20,CBC 30 North,16.80406667,-88.07896667,30,5,2025,25,PAST,Porites astreoides,12,1,1,5,4,1,,,,,
168,Sarah Gignoux Wolfsohn,Erin Shilling,CBC20,CBC 30 North,16.80406667,-88.07896667,30,5,2025,25,SSID,Siderastrea siderea,8,,1,4,3,,,,,,
169,Erin Shilling,Sarah Gignoux-Wolfsohn,CBC20,CBC 30 North,16.80406667,-88.07896667,30,5,2025,25,AAGA,Agaricia agaricites,9,,,8,1,,,,,,
170,Erin Shilling,Sarah Gignoux-Wolfsohn,CBC20,CBC 30 North,16.80406667,-88.07896667,30,5,2025,25,MCAV,Montrastraea cavernosa,1,,,,1,,,,,,
171,Erin Shilling,Sarah Gignoux-Wolfsohn,CBC20,CBC 30 North,16.80406667,-88.07896667,30,5,2025,25,OANN,Orbicella annularis,2,,,,1,1,,,,,
172,Erin Shilling,Sarah Gignoux-Wolfsohn,CBC20,CBC 30 North,16.80406667,-88.07896667,30,5,2025,25,PAST,Porites astreoides,90,10,9,35,26,10,,,,,
173,Erin Shilling,Sarah Gignoux-Wolfsohn,CBC20,CBC 30 North,16.80406667,-88.07896667,30,5,2025,25,PSTR,Pseudodiploria strigosa,1,,,1,,,,,,,
174,Erin Shilling,Sarah Gignoux-Wolfsohn,CBC20,CBC 30 North,16.80406667,-88.07896667,30,5,2025,25,SSID,Siderastrea siderea,46,2,25,9,5,4,1,,,,
175,Erin Shilling,Sarah Gignoux-Wolfsohn,CBC20,CBC 30 North,16.80406667,-88.07896667,30,5,2025,25,SRAD,Siderastrea radians,1,1,,,,,,,,,
