"","time_point","survey","location_name","species","total","event","n_tl","prev_tl","n_healthy"
"1","December22","December22","CBC Central","Agaricia agaricites",139,"December22_CBC Central_Agaricia agaricites",1,0.00719424460431655,138
"2","December22","December22","CBC Central","Agaricia tenuifolia",70,"December22_CBC Central_Agaricia tenuifolia",3,0.0428571428571429,67
"3","December22","December22","CBC Central","Helioseris cucullata",1,"December22_CBC Central_Helioseris cucullata",0,0,1
"4","December22","December22","CBC Central","Madracis decactis",3,"December22_CBC Central_Madracis decactis",0,0,3
"5","December22","December22","CBC Central","Montastraea cavernosa",1,"December22_CBC Central_Montastraea cavernosa",0,0,1
"6","December22","December22","CBC Central","Orbicella spp.",2,"December22_CBC Central_Orbicella spp.",0,0,2
"7","December22","December22","CBC Central","Porites astreoides",120,"December22_CBC Central_Porites astreoides",1,0.00833333333333333,119
"8","December22","December22","CBC Central","Porites porities",54,"December22_CBC Central_Porites porities",0,0,54
"9","December22","December22","CBC Central","Pseudodiploria strigosa",2,"December22_CBC Central_Pseudodiploria strigosa",0,0,2
"10","December22","December22","CBC Central","Siderastrea radians",4,"December22_CBC Central_Siderastrea radians",0,0,4
"11","December22","December22","CBC Central","Siderastrea siderea",79,"December22_CBC Central_Siderastrea siderea",20,0.253164556962025,59
"12","December22","December22","CBC Central","Stephanocoenia intersepta",10,"December22_CBC Central_Stephanocoenia intersepta",0,0,10
"13","December22","December22","CBC Lagoon","Agaricia agaricites",25,"December22_CBC Lagoon_Agaricia agaricites",1,0.04,24
"14","December22","December22","CBC Lagoon","Agaricia tenuifolia",117,"December22_CBC Lagoon_Agaricia tenuifolia",2,0.0170940170940171,115
"15","December22","December22","CBC Lagoon","Helioseris cucullata",2,"December22_CBC Lagoon_Helioseris cucullata",0,0,2
"16","December22","December22","CBC Lagoon","Montastraea cavernosa",2,"December22_CBC Lagoon_Montastraea cavernosa",2,1,0
"17","December22","December22","CBC Lagoon","Orbicella spp.",6,"December22_CBC Lagoon_Orbicella spp.",1,0.166666666666667,5
"18","December22","December22","CBC Lagoon","Porites astreoides",49,"December22_CBC Lagoon_Porites astreoides",0,0,49
"19","December22","December22","CBC Lagoon","Porites porities",16,"December22_CBC Lagoon_Porites porities",0,0,16
"20","December22","December22","CBC Lagoon","Pseudodiploria strigosa",2,"December22_CBC Lagoon_Pseudodiploria strigosa",0,0,2
"21","December22","December22","CBC Lagoon","Siderastrea siderea",12,"December22_CBC Lagoon_Siderastrea siderea",6,0.5,6
"22","December22","December22","CBC Lagoon","Stephanocoenia intersepta",1,"December22_CBC Lagoon_Stephanocoenia intersepta",0,0,1
"23","December22","December22","CBC30N","Agaricia agaricites",33,"December22_CBC30N_Agaricia agaricites",1,0.0303030303030303,32
"24","December22","December22","CBC30N","Agaricia tenuifolia",16,"December22_CBC30N_Agaricia tenuifolia",0,0,16
"25","December22","December22","CBC30N","Montastraea cavernosa",2,"December22_CBC30N_Montastraea cavernosa",0,0,2
"26","December22","December22","CBC30N","Orbicella spp.",7,"December22_CBC30N_Orbicella spp.",1,0.142857142857143,6
"27","December22","December22","CBC30N","Porites astreoides",57,"December22_CBC30N_Porites astreoides",0,0,57
"28","December22","December22","CBC30N","Porites porities",12,"December22_CBC30N_Porites porities",0,0,12
"29","December22","December22","CBC30N","Siderastrea radians",5,"December22_CBC30N_Siderastrea radians",0,0,5
"30","December22","December22","CBC30N","Siderastrea siderea",34,"December22_CBC30N_Siderastrea siderea",16,0.470588235294118,18
"31","December22","December22","CBC30N","Stephanocoenia intersepta",5,"December22_CBC30N_Stephanocoenia intersepta",0,0,5
"32","December22","December22","Curlew Patch","Agaricia agaricites",50,"December22_Curlew Patch_Agaricia agaricites",0,0,50
"33","December22","December22","Curlew Patch","Agaricia tenuifolia",66,"December22_Curlew Patch_Agaricia tenuifolia",0,0,66
"34","December22","December22","Curlew Patch","Diploria labyrinthiformis",1,"December22_Curlew Patch_Diploria labyrinthiformis",0,0,1
"35","December22","December22","Curlew Patch","Montastraea cavernosa",3,"December22_Curlew Patch_Montastraea cavernosa",0,0,3
"36","December22","December22","Curlew Patch","Orbicella spp.",8,"December22_Curlew Patch_Orbicella spp.",0,0,8
"37","December22","December22","Curlew Patch","Porites astreoides",36,"December22_Curlew Patch_Porites astreoides",0,0,36
"38","December22","December22","Curlew Patch","Porites porities",39,"December22_Curlew Patch_Porites porities",0,0,39
"39","December22","December22","Curlew Patch","Siderastrea siderea",28,"December22_Curlew Patch_Siderastrea siderea",8,0.285714285714286,20
"40","December22","December22","House Reef","Agaricia agaricites",126,"December22_House Reef_Agaricia agaricites",1,0.00793650793650794,125
"41","December22","December22","House Reef","Agaricia tenuifolia",36,"December22_House Reef_Agaricia tenuifolia",1,0.0277777777777778,35
"42","December22","December22","House Reef","Montastraea cavernosa",1,"December22_House Reef_Montastraea cavernosa",0,0,1
"43","December22","December22","House Reef","Orbicella spp.",23,"December22_House Reef_Orbicella spp.",2,0.0869565217391304,21
"44","December22","December22","House Reef","Porites astreoides",30,"December22_House Reef_Porites astreoides",0,0,30
"45","December22","December22","House Reef","Porites porities",11,"December22_House Reef_Porites porities",0,0,11
"46","December22","December22","House Reef","Pseudodiploria strigosa",5,"December22_House Reef_Pseudodiploria strigosa",4,0.8,1
"47","December22","December22","House Reef","Siderastrea radians",110,"December22_House Reef_Siderastrea radians",1,0.00909090909090909,109
"48","December22","December22","House Reef","Siderastrea siderea",29,"December22_House Reef_Siderastrea siderea",8,0.275862068965517,21
"49","December22","December22","House Reef","Stephanocoenia intersepta",4,"December22_House Reef_Stephanocoenia intersepta",0,0,4
"50","December22","December22","SR30N","Agaricia agaricites",63,"December22_SR30N_Agaricia agaricites",0,0,63
"51","December22","December22","SR30N","Agaricia tenuifolia",31,"December22_SR30N_Agaricia tenuifolia",0,0,31
"52","December22","December22","SR30N","Colpophyllia natans",1,"December22_SR30N_Colpophyllia natans",0,0,1
"53","December22","December22","SR30N","Dichocoenia stokesii",1,"December22_SR30N_Dichocoenia stokesii",0,0,1
"54","December22","December22","SR30N","Isophyllia rigida",1,"December22_SR30N_Isophyllia rigida",0,0,1
"55","December22","December22","SR30N","Madracis decactis",1,"December22_SR30N_Madracis decactis",0,0,1
"56","December22","December22","SR30N","Montastraea cavernosa",2,"December22_SR30N_Montastraea cavernosa",0,0,2
"57","December22","December22","SR30N","Orbicella spp.",11,"December22_SR30N_Orbicella spp.",0,0,11
"58","December22","December22","SR30N","Porites astreoides",39,"December22_SR30N_Porites astreoides",0,0,39
"59","December22","December22","SR30N","Porites porities",44,"December22_SR30N_Porites porities",0,0,44
"60","December22","December22","SR30N","Pseudodiploria clivosa",1,"December22_SR30N_Pseudodiploria clivosa",0,0,1
"61","December22","December22","SR30N","Pseudodiploria strigosa",6,"December22_SR30N_Pseudodiploria strigosa",1,0.166666666666667,5
"62","December22","December22","SR30N","Siderastrea siderea",21,"December22_SR30N_Siderastrea siderea",9,0.428571428571429,12
"63","December22","December22","SR30N","Stephanocoenia intersepta",1,"December22_SR30N_Stephanocoenia intersepta",0,0,1
"64","December22","December22","South Reef Central","Agaricia agaricites",76,"December22_South Reef Central_Agaricia agaricites",1,0.0131578947368421,75
"65","December22","December22","South Reef Central","Agaricia tenuifolia",43,"December22_South Reef Central_Agaricia tenuifolia",0,0,43
"66","December22","December22","South Reef Central","Helioseris cucullata",2,"December22_South Reef Central_Helioseris cucullata",0,0,2
"67","December22","December22","South Reef Central","Madracis decactis",2,"December22_South Reef Central_Madracis decactis",0,0,2
"68","December22","December22","South Reef Central","Montastraea cavernosa",6,"December22_South Reef Central_Montastraea cavernosa",0,0,6
"69","December22","December22","South Reef Central","Orbicella spp.",5,"December22_South Reef Central_Orbicella spp.",0,0,5
"70","December22","December22","South Reef Central","Porites astreoides",78,"December22_South Reef Central_Porites astreoides",0,0,78
"71","December22","December22","South Reef Central","Porites porities",47,"December22_South Reef Central_Porites porities",0,0,47
"72","December22","December22","South Reef Central","Pseudodiploria strigosa",1,"December22_South Reef Central_Pseudodiploria strigosa",0,0,1
"73","December22","December22","South Reef Central","Scolymia cubensis",1,"December22_South Reef Central_Scolymia cubensis",0,0,1
"74","December22","December22","South Reef Central","Siderastrea siderea",32,"December22_South Reef Central_Siderastrea siderea",8,0.25,24
"75","December22","December22","South Reef Central","Stephanocoenia intersepta",3,"December22_South Reef Central_Stephanocoenia intersepta",0,0,3
"76","January20","November19","CBC30N","Agaricia agaricites",83,"November19_CBC30N_Agaricia agaricites",0,0,83
"77","January20","November19","CBC30N","Agaricia lamarckiana",1,"November19_CBC30N_Agaricia lamarckiana",0,0,1
"78","January20","November19","CBC30N","Agaricia tenuifolia",25,"November19_CBC30N_Agaricia tenuifolia",0,0,25
"79","January20","November19","CBC30N","Dichocoenia stokesii",4,"November19_CBC30N_Dichocoenia stokesii",0,0,4
"80","January20","November19","CBC30N","Eusmilia fastigiata",1,"November19_CBC30N_Eusmilia fastigiata",0,0,1
"81","January20","November19","CBC30N","Meandrina meandrites",1,"November19_CBC30N_Meandrina meandrites",0,0,1
"82","January20","November19","CBC30N","Montastraea cavernosa",5,"November19_CBC30N_Montastraea cavernosa",0,0,5
"83","January20","November19","CBC30N","Orbicella spp.",14,"November19_CBC30N_Orbicella spp.",0,0,14
"84","January20","November19","CBC30N","Porites astreoides",113,"November19_CBC30N_Porites astreoides",0,0,113
"85","January20","November19","CBC30N","Porites porities",11,"November19_CBC30N_Porites porities",0,0,11
"86","January20","November19","CBC30N","Pseudodiploria strigosa",5,"November19_CBC30N_Pseudodiploria strigosa",0,0,5
"87","January20","November19","CBC30N","Siderastrea radians",1,"November19_CBC30N_Siderastrea radians",0,0,1
"88","January20","November19","CBC30N","Siderastrea siderea",73,"November19_CBC30N_Siderastrea siderea",0,0,73
"89","January20","November19","CBC30N","Stephanocoenia intersepta",2,"November19_CBC30N_Stephanocoenia intersepta",0,0,2
"90","January20","November19","SR30N","Agaricia agaricites",129,"November19_SR30N_Agaricia agaricites",0,0,129
"91","January20","November19","SR30N","Agaricia tenuifolia",24,"November19_SR30N_Agaricia tenuifolia",0,0,24
"92","January20","November19","SR30N","Colpophyllia natans",1,"November19_SR30N_Colpophyllia natans",0,0,1
"93","January20","November19","SR30N","Dendrogyra cylindrus",1,"November19_SR30N_Dendrogyra cylindrus",0,0,1
"94","January20","November19","SR30N","Dichocoenia stokesii",2,"November19_SR30N_Dichocoenia stokesii",0,0,2
"95","January20","November19","SR30N","Eusmilia fastigiata",1,"November19_SR30N_Eusmilia fastigiata",0,0,1
"96","January20","November19","SR30N","Helioseris cucullata",5,"November19_SR30N_Helioseris cucullata",0,0,5
"97","January20","November19","SR30N","Madracis decactis",2,"November19_SR30N_Madracis decactis",0,0,2
"98","January20","November19","SR30N","Meandrina meandrites",1,"November19_SR30N_Meandrina meandrites",0,0,1
"99","January20","November19","SR30N","Montastraea cavernosa",6,"November19_SR30N_Montastraea cavernosa",0,0,6
"100","January20","November19","SR30N","Mycetophyllia spp.",2,"November19_SR30N_Mycetophyllia spp.",0,0,2
"101","January20","November19","SR30N","Orbicella spp.",10,"November19_SR30N_Orbicella spp.",0,0,10
"102","January20","November19","SR30N","Porites astreoides",61,"November19_SR30N_Porites astreoides",0,0,61
"103","January20","November19","SR30N","Porites porities",30,"November19_SR30N_Porites porities",0,0,30
"104","January20","November19","SR30N","Pseudodiploria strigosa",8,"November19_SR30N_Pseudodiploria strigosa",0,0,8
"105","January20","November19","SR30N","Siderastrea siderea",85,"November19_SR30N_Siderastrea siderea",0,0,85
"106","January20","November19","SR30N","Stephanocoenia intersepta",5,"November19_SR30N_Stephanocoenia intersepta",0,0,5
"107","May22","May22","CBC Central","Agaricia agaricites",65,"May22_CBC Central_Agaricia agaricites",1,0.0153846153846154,64
"108","May22","May22","CBC Central","Agaricia tenuifolia",29,"May22_CBC Central_Agaricia tenuifolia",1,0.0344827586206897,28
"109","May22","May22","CBC Central","Diploria labyrinthiformis",2,"May22_CBC Central_Diploria labyrinthiformis",1,0.5,1
"110","May22","May22","CBC Central","Montastraea cavernosa",1,"May22_CBC Central_Montastraea cavernosa",1,1,0
"111","May22","May22","CBC Central","Orbicella spp.",3,"May22_CBC Central_Orbicella spp.",1,0.333333333333333,2
