,SiteName,Date,Total points,mean
1,CBC Central,10/10/2019,840,NA
2,CBC Central,23/05/2022,840,NA
3,CBC Central,01/12/2022,840,NA
4,CBC Lagoon,01/10/2019,840,NA
5,CBC Lagoon,19/05/2022,840,NA
6,CBC Lagoon,01/12/2022,840,NA
7,CBC30N,04/01/2020,680,NA
8,CBC30N,24/05/2022,680,NA
9,CBC30N,01/12/2022,840,NA
10,Curlew Patch,01/10/2019,800,NA
11,Curlew Patch,19/05/2022,800,NA
12,Curlew Patch,03/12/2022,840,NA
13,House Reef,01/10/2019,840,NA
14,House Reef,21/05/2022,840,NA
15,House Reef,11/12/2022,840,NA
16,SR30N,05/01/2020,640,NA
17,SR30N,26/05/2022,680,NA
18,SR30N,05/12/2022,840,NA
19,South Reef Central,06/10/2019,840,NA
20,South Reef Central,21/05/2022,840,NA
21,South Reef Central,04/12/2022,840,NA
