Date,SiteName,Turf Algae,All Stony Coral,Macroalgae,Octocoral
10/10/2019,CBC Central,30.12,9.29,12.38,28.57
23/05/2022,CBC Central,45.24,8.81,4.64,19.88
01/12/2022,CBC Central,56.19,5.24,7.5,17.62
01/10/2019,CBC Lagoon,23.69,25.83,9.76,6.43
19/05/2022,CBC Lagoon,34.52,15.48,10.95,3.33
01/12/2022,CBC Lagoon,53.69,15.48,13.33,3.81
04/01/2020,CBC30N,32.5,10.88,3.38,21.76
24/05/2022,CBC30N,36.47,8.82,11.03,14.41
01/12/2022,CBC30N,52.26,3.33,5.71,12.26
01/10/2019,Curlew Patch,21.75,16,43.62,0.12
19/05/2022,Curlew Patch,31.13,8.75,36.75,1.12
03/12/2022,Curlew Patch,24.4,11.9,32.62,0.6
01/10/2019,House Reef,55.24,11.31,3.21,11.07
21/05/2022,House Reef,42.98,7.38,9.05,10.48
11/12/2022,House Reef,61.79,7.38,2.5,6.79
05/01/2020,SR30N,49.38,10.47,8.75,17.97
26/05/2022,SR30N,35.44,12.21,17.21,17.06
05/12/2022,SR30N,48.1,4.76,7.62,17.86
06/10/2019,South Reef Central,34.88,8.45,20.6,13.57
21/05/2022,South Reef Central,39.76,5.83,14.76,17.38
04/12/2022,South Reef Central,46.19,7.38,9.76,15.6
