"","Date","SiteName","Agaricia agaricites","Agaricia tenuifolia","Montastraea cavernosa","Porites astreoides","Porites porites","Pseudodiploria strigosa","Stephanocoenia intersepta","Siderastrea radians","Siderastrea siderea","Orbicella spp.","Dichocoenia stokesii","Eusmilia fastigiata","Meandrina meandrites","Diploria labyrinthiformis"
"1",2019-10-10,"CBC Central",0.24,2.86,0.12,1.19,1.07,0.83,0,0,2.02,0.24,0,0,0,0
"2",2022-05-23,"CBC Central",0.48,0.95,0.6,3.45,1.43,0,0.24,0,0.71,0,0,0,0,0
"3",2022-12-01,"CBC Central",0.24,2.02,0.12,1.55,0.6,0,0.12,0,0,0,0,0,0,0
"4",2019-10-01,"CBC Lagoon",0,18.69,0.12,0.83,0.48,0,0.12,0,3.69,0.36,0,0,0,0
"5",2022-05-19,"CBC Lagoon",0.36,8.93,0.71,0.95,0.24,0,0,0,1.19,1.43,0,0,0,0
"6",2022-12-01,"CBC Lagoon",0.71,9.76,0.83,0.95,0,0.36,0,0,0.24,0.83,0,0,0,0
"7",2020-01-04,"CBC30N",0.59,2.5,0.15,1.91,0.29,0.29,0,0,4.12,0,0,0,0,0
"8",2022-05-24,"CBC30N",0.44,2.35,0,3.09,0,0,0.15,0,1.91,0.29,0,0,0,0
"9",2022-12-01,"CBC30N",0.24,0.48,0,0.83,0.71,0,0,0,0.36,0.36,0,0,0,0
"10",2019-10-01,"Curlew Patch",0.5,4.75,1.75,0.5,0.88,0,0.38,0,3.75,2.12,0,0,0,0
"11",2022-05-19,"Curlew Patch",0.75,4.62,0.12,1.12,0.25,0,0,0,1.62,0,0,0,0,0
"12",2022-12-03,"Curlew Patch",0,5.36,0,0.36,0.24,0,0.6,0,1.67,1.79,0,0,0,0
"13",2019-10-01,"House Reef",0,1.67,0,0.6,0,1.19,0.12,0.6,0.6,6.07,0,0,0,0
"14",2022-05-21,"House Reef",0.12,0.83,0,0,0.12,0.36,0,0.12,1.79,3.1,0,0,0,0
"15",2022-12-11,"House Reef",0,1.79,0,0.24,0,0.48,0.12,0.48,2.5,1.07,0,0,0,0
"16",2020-01-05,"SR30N",1.09,2.66,0,2.5,1.09,0,0,0,0.47,0,0,0,0,0
"17",2022-05-26,"SR30N",0.44,3.24,0,0.74,0.74,0.88,0,0,3.82,0.15,0,0,0,0
"18",2022-12-05,"SR30N",0.83,0.36,0,0.24,0.12,0.24,0,0,0.36,0.12,0,0,0,0
"19",2019-10-06,"South Reef Central",0.83,2.14,1.67,0.71,0.24,0.95,0.12,0,1.31,0.12,0,0,0,0
"20",2022-05-21,"South Reef Central",0.83,1.67,0,1.07,0.71,0,0.12,0,0.6,0,0,0,0,0
"21",2022-12-04,"South Reef Central",0.95,2.86,0,1.19,0.36,0.24,0,0,0.83,0.6,0,0,0,0
