"","species","Oct 2019/Jan 2020 TL","Oct 2019/Jan 2020 Healthy","May 2022 TL","May 2022 Healthy","Dec 2022 TL","Dec 2022 Healthy"
"1","Acropora cervicornis",0,4,0,0,0,0
"2","Agaricia agaricites",3,961,2,315,5,507
"3","Agaricia lamarckiana",0,1,0,0,0,0
"4","Agaricia tenuifolia",2,334,22,193,6,373
"5","Colpophyllia natans",0,1,0,1,0,1
"6","Dendrogyra cylindrus",0,1,0,0,0,0
"7","Dichocoenia stokesii",0,22,0,4,0,1
"8","Diploria labyrinthiformis",0,4,3,2,0,1
"9","Eusmilia fastigiata",0,9,4,2,0,0
"10","Favia fragum",0,1,0,0,0,0
"11","Helioseris cucullata",0,11,0,0,0,5
"12","Isophyllia rigida",0,0,0,1,0,1
"13","Isophyllia sinuosa",0,0,0,1,0,0
"14","Madracis decactis",0,12,0,8,0,6
"15","Meandrina meandrites",0,8,0,0,0,0
"16","Montastraea cavernosa",0,50,7,22,2,15
"17","Mycetophyllia aliciae",0,1,0,0,0,0
"18","Mycetophyllia spp.",0,2,0,0,0,0
"19","Orbicella spp.",0,147,8,38,4,58
"20","Porites astreoides",3,523,3,307,1,408
"21","Porites porites",2,207,0,103,0,223
"22","Pseudodiploria clivosa",0,0,0,1,0,1
"23","Pseudodiploria strigosa",0,43,7,16,5,11
"24","Scolymia cubensis",0,0,0,0,0,1
"25","Siderastrea radians",0,60,0,22,1,118
"26","Siderastrea siderea",0,436,30,129,75,160
"27","Stephanocoenia intersepta",0,33,1,22,0,24
