,contrast,estimate,SE_est,z.ratio,p.value,effect.size,df,asymp.LCL,asymp.UCL,sig
1,Agaricia agaricites - Agaricia tenuifolia,-0.765803129,0.479398698,-1.597424299,0.911,-0.029453967,Inf,-0.065592589,0.006684656,
2,Agaricia agaricites - Diploria labyrinthiformis,-3.952275383,0.872353752,-4.530587931,<0.001,-0.152010592,Inf,-0.217771435,-0.086249748,***
3,Agaricia agaricites - Eusmilia fastigiata,-4.330091653,0.845698162,-5.120138423,<0.001,-0.166541987,Inf,-0.230293446,-0.102790527,***
4,Agaricia agaricites - Montastraea cavernosa,-2.624264953,0.536492746,-4.891519922,<0.001,-0.100933267,Inf,-0.141375824,-0.060490711,***
5,Agaricia agaricites - Orbicella spp.,-1.946689218,0.488724012,-3.98320764,0.004,-0.074872662,Inf,-0.111714257,-0.038031068,**
6,Agaricia agaricites - Porites astreoides,0.424333871,0.558877556,0.75926089,1,0.016320533,Inf,-0.025809462,0.058450529,
7,Agaricia agaricites - Porites porites,0.756639674,0.789569849,0.958293525,0.998,0.029101526,Inf,-0.0304188,0.088621852,
8,Agaricia agaricites - Pseudodiploria strigosa,-3.199320894,0.525970868,-6.082696002,<0.001,-0.123050804,Inf,-0.162700187,-0.083401421,***
9,Agaricia agaricites - Siderastrea radians,0.493600853,1.068262491,0.462059519,1,0.018984648,Inf,-0.061544429,0.099513725,
10,Agaricia agaricites - Siderastrea siderea,-2.990955049,0.407148145,-7.346109978,<0.001,-0.115036733,Inf,-0.145728875,-0.08434459,***
11,Agaricia agaricites - Stephanocoenia intersepta,-0.249987097,1.076179423,-0.232291281,1,-0.009614888,Inf,-0.09074077,0.071510993,
12,Agaricia tenuifolia - Diploria labyrinthiformis,-3.186472253,0.848265665,-3.756455537,0.009,-0.122556625,Inf,-0.186501631,-0.058611619,**
13,Agaricia tenuifolia - Eusmilia fastigiata,-3.564288524,0.81283232,-4.385023131,0.001,-0.13708802,Inf,-0.198361946,-0.075814094,***
14,Agaricia tenuifolia - Montastraea cavernosa,-1.858461824,0.495151484,-3.753319712,0.01,-0.071479301,Inf,-0.108805419,-0.034153183,**
15,Agaricia tenuifolia - Orbicella spp.,-1.180886089,0.449204599,-2.628837929,0.263,-0.045418696,Inf,-0.079281189,-0.011556202,
16,Agaricia tenuifolia - Porites astreoides,1.190137,0.555400961,2.142842889,0.592,0.0457745,Inf,0.003906582,0.087642418,
17,Agaricia tenuifolia - Porites porites,1.522442803,0.777577638,1.957930281,0.722,0.058555492,Inf,-6.08E-05,0.117171806,
18,Agaricia tenuifolia - Pseudodiploria strigosa,-2.433517765,0.479889371,-5.070997431,<0.001,-0.093596837,Inf,-0.129772448,-0.057421226,***
19,Agaricia tenuifolia - Siderastrea radians,1.259403982,1.068142293,1.179060121,0.991,0.048438615,Inf,-0.032081402,0.128958631,
20,Agaricia tenuifolia - Siderastrea siderea,-2.22515192,0.344834998,-6.452801876,<0.001,-0.085582766,Inf,-0.111577542,-0.05958799,***
21,Agaricia tenuifolia - Stephanocoenia intersepta,0.515816032,1.059164955,0.487002548,1,0.019839078,Inf,-0.060004197,0.099682354,
22,Diploria labyrinthiformis - Eusmilia fastigiata,-0.37781627,1.075551431,-0.351276805,1,-0.014531395,Inf,-0.095609936,0.066547146,
23,Diploria labyrinthiformis - Montastraea cavernosa,1.32801043,0.87229186,1.522438178,0.935,0.051077324,Inf,-0.014678854,0.116833502,
24,Diploria labyrinthiformis - Orbicella spp.,2.005586164,0.849751375,2.360203493,0.434,0.077137929,Inf,0.013080926,0.141194933,
25,Diploria labyrinthiformis - Porites astreoides,4.376609253,0.916399531,4.77587461,<0.001,0.168331125,Inf,0.099249968,0.237412282,***
26,Diploria labyrinthiformis - Porites porites,4.708915056,1.066584059,4.414949779,0.001,0.181112118,Inf,0.100709566,0.261514669,***
27,Diploria labyrinthiformis - Pseudodiploria strigosa,0.752954488,0.860397546,0.875123938,0.999,0.028959788,Inf,-0.035899758,0.093819334,
