,contrast,species,estimate,SE_est,z.ratio,p.value,effect.size,df,asymp.LCL,asymp.UCL,sig
1,December22 - May22,Agaricia agaricites,0.460388954,0.321685392,1.43117768,0.325,0.017707267,Inf,-0.006542417,0.041956951,
2,December22 - November19,Agaricia agaricites,-0.66475876,0.318150043,-2.089450479,0.092,-0.025567645,Inf,-0.049550823,-0.001584467,
3,May22 - November19,Agaricia agaricites,-1.125147714,0.320029782,-3.515759394,0.001,-0.043274912,Inf,-0.067399791,-0.019150033,**
4,December22 - May22,Agaricia tenuifolia,0.565649322,0.324731029,1.741901051,0.19,0.021755743,Inf,-0.002723531,0.046235017,
5,December22 - November19,Agaricia tenuifolia,0.096474156,0.322159116,0.299461202,0.952,0.003710544,Inf,-0.02057485,0.027995939,
6,May22 - November19,Agaricia tenuifolia,-0.469175165,0.325471442,-1.441524833,0.32,-0.018045199,Inf,-0.042580287,0.00648989,
7,December22 - May22,Dichocoenia stokesii,-1.39338946,1.161883468,-1.199250612,0.454,-0.053591902,Inf,-0.141178431,0.033994627,
8,December22 - November19,Dichocoenia stokesii,-3.08021427,1.070065676,-2.878528243,0.011,-0.11846978,Inf,-0.199134787,-0.037804772,*
9,May22 - November19,Dichocoenia stokesii,-1.68682481,0.628239466,-2.685002936,0.02,-0.064877877,Inf,-0.112236598,-0.017519157,*
10,December22 - May22,Diploria labyrinthiformis,-1.709370997,1.218698057,-1.402620597,0.34,-0.065745038,Inf,-0.157614435,0.026124358,
11,December22 - November19,Diploria labyrinthiformis,-1.563793316,1.249853522,-1.251181269,0.423,-0.060145897,Inf,-0.154363893,0.034072099,
12,May22 - November19,Diploria labyrinthiformis,0.145577681,0.867424971,0.167827404,0.985,0.005599142,Inf,-0.059790155,0.070988438,
13,December22 - May22,Eusmilia fastigiata,-15.33037878,833.7065285,-0.01838822,1,-0.589629953,Inf,-63.43712109,62.25786118,
14,December22 - November19,Eusmilia fastigiata,-15.57124716,833.7106682,-0.01867704,1,-0.598894122,Inf,-63.44669732,62.24890908,
15,May22 - November19,Eusmilia fastigiata,-0.240868384,0.694859001,-0.34664354,0.936,-0.009264169,Inf,-0.061644885,0.043116547,
16,December22 - May22,Meandrina meandrites,-0.016573594,1144.672089,-1.45E-05,1,-0.000637446,Inf,-86.28971704,86.28844215,
17,December22 - November19,Meandrina meandrites,-15.46979337,812.7608802,-0.019033634,1,-0.594992053,Inf,-61.86353256,60.67354846,
18,May22 - November19,Meandrina meandrites,-15.45321978,806.0075402,-0.01917255,1,-0.594354607,Inf,-61.35380653,60.16509732,
19,December22 - May22,Montastraea cavernosa,-0.553397384,0.438305212,-1.262584538,0.416,-0.021284515,Inf,-0.054325377,0.011756348,
20,December22 - November19,Montastraea cavernosa,-1.070221706,0.421092501,-2.541535898,0.03,-0.041162373,Inf,-0.072905686,-0.00941906,*
21,May22 - November19,Montastraea cavernosa,-0.516824322,0.391359601,-1.320586799,0.384,-0.019877859,Inf,-0.049379809,0.009624092,
22,December22 - May22,Orbicella spp.,0.296836145,0.352639943,0.841754178,0.677,0.011416775,Inf,-0.015166363,0.037999913,
23,December22 - November19,Orbicella spp.,-0.826551839,0.34854722,-2.371419971,0.047,-0.031790455,Inf,-0.058065071,-0.00551584,*
24,May22 - November19,Orbicella spp.,-1.123387984,0.337296435,-3.330565842,0.002,-0.04320723,Inf,-0.068633725,-0.017780735,**
25,December22 - May22,Porites astreoides,0.267749446,0.322297314,0.830752955,0.684,0.010298056,Inf,-0.013997757,0.034593868,
26,December22 - November19,Porites astreoides,-0.274541737,0.320324467,-0.857073888,0.667,-0.010559298,Inf,-0.034706391,0.013587795,
