"","contrast","Species","estimate","SE","df","z.ratio","p.value","OR","OR_lower","OR_upper","sig"
"1","November19 - May22","Agaricia agaricites",-0.113201333921073,0.281014690091719,Inf,-0.402830662995325,"0.914",0.892970856692377,0.46217317138302,1.72532072451494,""
"2","November19 - December22","Agaricia agaricites",0.0142909817214945,0.286211773395493,Inf,0.0499314949624624,"0.999",1.01439358599005,0.518661554226621,1.98394181892291,""
"3","May22 - December22","Agaricia agaricites",0.127492315642568,0.278020092539001,Inf,0.458572308491275,"0.891",1.13597613896094,0.592085908634546,2.17948404018697,""
"4","November19 - May22","Agaricia tenuifolia",0.493949292551527,0.097557115684152,Inf,5.06318056953142,"<0.001",1.63877546056465,1.30382809153445,2.05976924993868,"***"
"5","November19 - December22","Agaricia tenuifolia",0.484279924862742,0.0958418581556363,Inf,5.05290625810203,"<0.001",1.62300590177479,1.29648311911094,2.03176433103282,"***"
"6","May22 - December22","Agaricia tenuifolia",-0.0096693676887857,0.106082775021735,Inf,-0.0911492717531625,"0.995",0.99037723033488,0.772366863634116,1.26992379469872,""
"7","November19 - May22","Montastraea cavernosa",0.958343145668499,0.340271638697708,Inf,2.81640617871146,"0.013",2.60737285560011,1.17450678967425,5.78829621751762,"*"
"8","November19 - December22","Montastraea cavernosa",1.41453568814335,0.396679369564512,Inf,3.565942160532,"0.001",4.11457557615809,1.62391194057645,10.4252772264899,"***"
"9","May22 - December22","Montastraea cavernosa",0.456192542474849,0.456424137645097,Inf,0.999492587812199,"0.577",1.57805415797009,0.541436775597764,4.59934573660491,""
"10","November19 - May22","Porites astreoides",-0.282583158455107,0.170620319447354,Inf,-1.65621046409012,"0.222",0.753833951685914,0.505369162734786,1.12445647383638,""
"11","November19 - December22","Porites astreoides",0.363271903454481,0.197377544294799,Inf,1.84049256845503,"0.156",1.43802681054572,0.905451139189797,2.28385720481691,""
"12","May22 - December22","Porites astreoides",0.645855061909588,0.186857769477297,Inf,3.45639929084167,"0.002",1.90761746314243,1.23111024163753,2.955872075961,"**"
"13","November19 - May22","Porites porites",0.1076461615266,0.261271339113459,Inf,0.412009070309293,"0.911",1.11365362216504,0.603689292644863,2.05440846023238,""
"14","November19 - December22","Porites porites",0.658974051426265,0.302182976089096,Inf,2.18071203068691,"0.074",1.93280835487059,0.951940860648639,3.92434897070398,""
"15","May22 - December22","Porites porites",0.551327889899665,0.307832589437738,Inf,1.79099909761561,"0.173",1.73555611583523,0.843547107462858,3.57082017656696,""
"16","November19 - May22","Pseudodiploria strigosa",1.10765455466905,0.385065578101154,Inf,2.87653484928761,"0.011",3.0272498123611,1.22774129154523,7.46430985872132,"*"
"17","November19 - December22","Pseudodiploria strigosa",0.956480067600759,0.357915316870366,Inf,2.67236416693278,"0.021",2.60251963878314,1.12483204258702,6.02143983618597,"*"
"18","May22 - December22","Pseudodiploria strigosa",-0.151174487068292,0.449471117518772,Inf,-0.336338601471936,"0.94",0.859697679443676,0.29981183749839,2.46514649390656,""
"19","November19 - May22","Stephanocoenia intersepta",0.410860514667264,0.645009597001436,Inf,0.636983568271387,"0.8",1.50811498196625,0.332588643632,6.83851010062639,""
"20","November19 - December22","Stephanocoenia intersepta",-0.0992573857006477,0.555970747460213,Inf,-0.17852987077841,"0.983",0.905509612801013,0.246033800180722,3.3326626596539,""
"21","May22 - December22","Stephanocoenia intersepta",-0.510117900367911,0.626311192685895,Inf,-0.814479936372051,"0.694",0.600424784336024,0.138345124891117,2.60587369398594,""
"22","November19 - May22","Siderastrea radians",1.61545973434311,1.09452844773274,Inf,1.47594129480093,"0.303",5.03019994763823,0.386823318290738,65.4120636393535,""
"23","November19 - December22","Siderastrea radians",0.278370520684903,0.670445148781613,Inf,0.415202528037947,"0.909",1.32097555531234,0.274459335662126,6.35786869309088,""
"24","May22 - December22","Siderastrea radians",-1.33708921365821,1.1170843151391,Inf,-1.19694565176283,"0.455",0.262608955720053,0.019154829924344,3.60031719920053,""
"25","November19 - May22","Siderastrea siderea",0.36430664473235,0.140559016535061,Inf,2.59184116190425,"0.026",1.43951556635098,1.03549377996763,2.0011757731964,"*"
"26","November19 - December22","Siderastrea siderea",0.988190581388016,0.168420316383417,Inf,5.86740722620632,"<0.001",2.68636930549489,1.81024788124616,3.98651484156813,"***"
"27","May22 - December22","Siderastrea siderea",0.623883936655666,0.178096725161162,Inf,3.50306237293867,"0.001",1.86616203970933,1.22934134881658,2.83286717867627,"***"
"28","November19 - May22","Orbicella spp.",0.602833159663638,0.195592667738282,Inf,3.08208465396195,"0.006",1.82728847367505,1.15537216089273,2.88996332008359,"**"
"29","November19 - December22","Orbicella spp.",0.678045627457936,0.197119081574552,Inf,3.4397767179201,"0.002",1.97002380701869,1.24117376936809,3.12687384796757,"**"
"30","May22 - December22","Orbicella spp.",0.0752124677942981,0.222950476068993,Inf,0.337350559283055,"0.939",1.07811319088363,0.639341400597848,1.81800842440422,""
