Name,Date,SiteName,Habitat,Row,Column,Label,Annotator,Date annotated
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,197,963,Macro,LeahHarper,2022-06-24 19:51:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,162,1126,ANTI,LeahHarper,2022-06-24 19:51:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,184,921,ANTI,LeahHarper,2022-06-24 19:51:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,288,1790,ANTI,LeahHarper,2022-06-24 19:51:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,133,2323,ANTI,LeahHarper,2022-06-24 19:51:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,336,1871,ANTI,LeahHarper,2022-06-24 19:51:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,393,2403,Tn Tf,LeahHarper,2022-06-24 19:51:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,584,1171,CYAN,LeahHarper,2022-06-24 19:51:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,884,615,Tn Tf,LeahHarper,2022-06-24 19:51:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,529,942,Sand,LeahHarper,2022-06-24 19:51:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,504,1024,CYAN,LeahHarper,2022-06-24 19:51:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,519,2133,Sand,LeahHarper,2022-06-24 19:51:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,729,2900,EUNI,LeahHarper,2022-06-24 19:51:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,886,2560,EUNI,LeahHarper,2022-06-24 19:51:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,1006,283,PSEUGORG,LeahHarper,2022-06-24 20:14:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,1007,358,PSEUGORG,LeahHarper,2022-06-24 20:14:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,1135,159,PSEUGORG,LeahHarper,2022-06-24 20:14:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,966,217,PSEUGORG,LeahHarper,2022-06-24 20:14:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,990,10,PSEUGORG,LeahHarper,2022-06-24 20:14:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,1183,478,Macro,LeahHarper,2022-06-24 19:51:34+00:00
Belize;2019;CBC 30 C;10;measured.JPG,10/10/19,CBC Central,Forereef,919,828,PSEUGORG,LeahHarper,2022-06-24 20:14:34+00:00
