,Habitat,SiteName,Date,npoints,TimePoint,Label,n,cover,Label_General,Label_Suscep
1,Forereef,CBC Central,01/12/2022,840,Dec-22,AAGA,2,0.238095238,All Stony Coral,x
2,Forereef,CBC Central,01/12/2022,840,Dec-22,ACER,0,0,All Stony Coral,x
3,Forereef,CBC Central,01/12/2022,840,Dec-22,AGAR,0,0,All Stony Coral,x
4,Forereef,CBC Central,01/12/2022,840,Dec-22,ALAM,0,0,All Stony Coral,x
5,Forereef,CBC Central,01/12/2022,840,Dec-22,ANTI,8,0.952380952,Octocoral,x
6,Forereef,CBC Central,01/12/2022,840,Dec-22,ATEN,17,2.023809524,All Stony Coral,x
7,Forereef,CBC Central,01/12/2022,840,Dec-22,BRAN-CALC,0,0,Macroalgae,x
8,Forereef,CBC Central,01/12/2022,840,Dec-22,BRIA,0,0,Octocoral,x
9,Forereef,CBC Central,01/12/2022,840,Dec-22,CCA 1,20,2.380952381,Hard Substrate,x
10,Forereef,CBC Central,01/12/2022,840,Dec-22,CLIONI,0,0,Sponge,x
11,Forereef,CBC Central,01/12/2022,840,Dec-22,CNAT,0,0,All Stony Coral,SCTLD Suscep. Spp.
12,Forereef,CBC Central,01/12/2022,840,Dec-22,CYAN,3,0.357142857,Cyanobacteria,x
13,Forereef,CBC Central,01/12/2022,840,Dec-22,Cyan red,0,0,Cyanobacteria,x
14,Forereef,CBC Central,01/12/2022,840,Dec-22,DLAB,0,0,All Stony Coral,SCTLD Suscep. Spp.
15,Forereef,CBC Central,01/12/2022,840,Dec-22,Dicsp,0,0,Macroalgae,x
16,Forereef,CBC Central,01/12/2022,840,Dec-22,ENSP,0,0,Sponge,x
17,Forereef,CBC Central,01/12/2022,840,Dec-22,EUNI,0,0,Octocoral,x
18,Forereef,CBC Central,01/12/2022,840,Dec-22,GORGO,135,16.07142857,Octocoral,x
19,Forereef,CBC Central,01/12/2022,840,Dec-22,GVEN,5,0.595238095,Octocoral,x
20,Forereef,CBC Central,01/12/2022,840,Dec-22,Hal_spp,3,0.357142857,Macroalgae,x
21,Forereef,CBC Central,01/12/2022,840,Dec-22,LSUB_RUB,24,2.857142857,Rubble,x
22,Forereef,CBC Central,01/12/2022,840,Dec-22,Lob_spp,0,0,Macroalgae,x
23,Forereef,CBC Central,01/12/2022,840,Dec-22,MALC,5,0.595238095,All Stony Coral,x
24,Forereef,CBC Central,01/12/2022,840,Dec-22,MCAV,1,0.119047619,All Stony Coral,SCTLD Suscep. Spp.
25,Forereef,CBC Central,01/12/2022,840,Dec-22,MCOM,0,0,All Stony Coral,x
26,Forereef,CBC Central,01/12/2022,840,Dec-22,MURI,0,0,Octocoral,x
27,Forereef,CBC Central,01/12/2022,840,Dec-22,MURO,0,0,Octocoral,x
28,Forereef,CBC Central,01/12/2022,840,Dec-22,Macro,60,7.142857143,Macroalgae,x
29,Forereef,CBC Central,01/12/2022,840,Dec-22,OANN,0,0,All Stony Coral,SCTLD Suscep. Spp.
30,Forereef,CBC Central,01/12/2022,840,Dec-22,OFAV,0,0,All Stony Coral,SCTLD Suscep. Spp.
31,Forereef,CBC Central,01/12/2022,840,Dec-22,Other Inv,0,0,Other Encrusting Invert,x
32,Forereef,CBC Central,01/12/2022,840,Dec-22,PALY,1,0.119047619,Other Encrusting Invert,x
33,Forereef,CBC Central,01/12/2022,840,Dec-22,PAST,13,1.547619048,All Stony Coral,x
34,Forereef,CBC Central,01/12/2022,840,Dec-22,PPOR,5,0.595238095,All Stony Coral,x
35,Forereef,CBC Central,01/12/2022,840,Dec-22,PSEUGORG,0,0,Octocoral,x
36,Forereef,CBC Central,01/12/2022,840,Dec-22,PSTR,0,0,All Stony Coral,SCTLD Suscep. Spp.
37,Forereef,CBC Central,01/12/2022,840,Dec-22,PTER,0,0,Octocoral,x
38,Forereef,CBC Central,01/12/2022,840,Dec-22,SHAD,1,0.119047619,Unidentified,x
39,Forereef,CBC Central,01/12/2022,840,Dec-22,SINT,0,0,All Stony Coral,SCTLD Suscep. Spp.
40,Forereef,CBC Central,01/12/2022,840,Dec-22,SINT,1,0.119047619,All Stony Coral,SCTLD Suscep. Spp.
41,Forereef,CBC Central,01/12/2022,840,Dec-22,SPONGB,3,0.357142857,Sponge,x
42,Forereef,CBC Central,01/12/2022,840,Dec-22,SPONGR,0,0,Sponge,x
43,Forereef,CBC Central,01/12/2022,840,Dec-22,SPONGV,0,0,Sponge,x
44,Forereef,CBC Central,01/12/2022,840,Dec-22,SPTU,1,0.119047619,Sponge,x
45,Forereef,CBC Central,01/12/2022,840,Dec-22,SRAD,0,0,All Stony Coral,x
46,Forereef,CBC Central,01/12/2022,840,Dec-22,SSID,0,0,All Stony Coral,SCTLD Suscep. Spp.
47,Forereef,CBC Central,01/12/2022,840,Dec-22,Sand,24,2.857142857,Sand,x
48,Forereef,CBC Central,01/12/2022,840,Dec-22,SpgOth,9,1.071428571,Sponge,x
49,Forereef,CBC Central,01/12/2022,840,Dec-22,TAPE,27,3.214285714,Unidentified,x
50,Forereef,CBC Central,01/12/2022,840,Dec-22,THAL,0,0,Thalassia,x
51,Forereef,CBC Central,01/12/2022,840,Dec-22,Tk Tf,130,15.47619048,Turf Algae,x
52,Forereef,CBC Central,01/12/2022,840,Dec-22,Tn Tf,342,40.71428571,Turf Algae,x
53,Forereef,CBC Central,01/12/2022,840,Dec-22,Turbin,0,0,Macroalgae,x
54,Forereef,CBC Central,01/12/2022,840,Dec-22,Unk,0,0,Unidentified,x
55,Forereef,CBC Central,23/05/2022,840,May-22,AAGA,4,0.476190476,All Stony Coral,x
56,Forereef,CBC Central,23/05/2022,840,May-22,ACER,0,0,All Stony Coral,x
57,Forereef,CBC Central,23/05/2022,840,May-22,AGAR,0,0,All Stony Coral,x
58,Forereef,CBC Central,23/05/2022,840,May-22,ALAM,0,0,All Stony Coral,x
59,Forereef,CBC Central,23/05/2022,840,May-22,ANTI,120,14.28571429,Octocoral,x
60,Forereef,CBC Central,23/05/2022,840,May-22,ATEN,8,0.952380952,All Stony Coral,x
61,Forereef,CBC Central,23/05/2022,840,May-22,BRAN-CALC,0,0,Macroalgae,x
62,Forereef,CBC Central,23/05/2022,840,May-22,BRIA,0,0,Octocoral,x
63,Forereef,CBC Central,23/05/2022,840,May-22,CCA 1,4,0.476190476,Hard Substrate,x
64,Forereef,CBC Central,23/05/2022,840,May-22,CLIONI,0,0,Sponge,x
65,Forereef,CBC Central,23/05/2022,840,May-22,CNAT,0,0,All Stony Coral,SCTLD Suscep. Spp.
66,Forereef,CBC Central,23/05/2022,840,May-22,CYAN,1,0.119047619,Cyanobacteria,x
67,Forereef,CBC Central,23/05/2022,840,May-22,Cyan red,0,0,Cyanobacteria,x
68,Forereef,CBC Central,23/05/2022,840,May-22,DLAB,0,0,All Stony Coral,SCTLD Suscep. Spp.
69,Forereef,CBC Central,23/05/2022,840,May-22,Dicsp,3,0.357142857,Macroalgae,x
70,Forereef,CBC Central,23/05/2022,840,May-22,ENSP,0,0,Sponge,x
71,Forereef,CBC Central,23/05/2022,840,May-22,EUNI,16,1.904761905,Octocoral,x
72,Forereef,CBC Central,23/05/2022,840,May-22,GORGO,15,1.785714286,Octocoral,x
73,Forereef,CBC Central,23/05/2022,840,May-22,GVEN,5,0.595238095,Octocoral,x
74,Forereef,CBC Central,23/05/2022,840,May-22,Hal_spp,5,0.595238095,Macroalgae,x
75,Forereef,CBC Central,23/05/2022,840,May-22,LSUB_RUB,50,5.952380952,Rubble,x
76,Forereef,CBC Central,23/05/2022,840,May-22,Lob_spp,0,0,Macroalgae,x
77,Forereef,CBC Central,23/05/2022,840,May-22,MALC,8,0.952380952,All Stony Coral,x
78,Forereef,CBC Central,23/05/2022,840,May-22,MCAV,5,0.595238095,All Stony Coral,SCTLD Suscep. Spp.
79,Forereef,CBC Central,23/05/2022,840,May-22,MCOM,0,0,All Stony Coral,x
80,Forereef,CBC Central,23/05/2022,840,May-22,MURI,0,0,Octocoral,x
81,Forereef,CBC Central,23/05/2022,840,May-22,MURO,3,0.357142857,Octocoral,x
82,Forereef,CBC Central,23/05/2022,840,May-22,Macro,31,3.69047619,Macroalgae,x
83,Forereef,CBC Central,23/05/2022,840,May-22,OANN,0,0,All Stony Coral,SCTLD Suscep. Spp.
84,Forereef,CBC Central,23/05/2022,840,May-22,OFAV,0,0,All Stony Coral,SCTLD Suscep. Spp.
85,Forereef,CBC Central,23/05/2022,840,May-22,Other Inv,1,0.119047619,Other Encrusting Invert,x
86,Forereef,CBC Central,23/05/2022,840,May-22,PALY,0,0,Other Encrusting Invert,x
87,Forereef,CBC Central,23/05/2022,840,May-22,PAST,29,3.452380952,All Stony Coral,x
88,Forereef,CBC Central,23/05/2022,840,May-22,PPOR,12,1.428571429,All Stony Coral,x
89,Forereef,CBC Central,23/05/2022,840,May-22,PSEUGORG,8,0.952380952,Octocoral,x
90,Forereef,CBC Central,23/05/2022,840,May-22,PSTR,0,0,All Stony Coral,SCTLD Suscep. Spp.
91,Forereef,CBC Central,23/05/2022,840,May-22,PTER,0,0,Octocoral,x
92,Forereef,CBC Central,23/05/2022,840,May-22,SHAD,1,0.119047619,Unidentified,x
93,Forereef,CBC Central,23/05/2022,840,May-22,SINT,0,0,All Stony Coral,SCTLD Suscep. Spp.
94,Forereef,CBC Central,23/05/2022,840,May-22,SINT,2,0.238095238,All Stony Coral,SCTLD Suscep. Spp.
95,Forereef,CBC Central,23/05/2022,840,May-22,SPONGB,12,1.428571429,Sponge,x
