"","survey","location_name","species","n_tl","n_healthy"
"1","Oct 2019/Jan 2020","CBC Central","Acropora cervicornis",0,0
"2","Oct 2019/Jan 2020","CBC Central","Agaricia agaricites",0,140
"3","Oct 2019/Jan 2020","CBC Central","Agaricia lamarckiana",0,0
"4","Oct 2019/Jan 2020","CBC Central","Agaricia tenuifolia",0,34
"5","Oct 2019/Jan 2020","CBC Central","Colpophyllia natans",0,0
"6","Oct 2019/Jan 2020","CBC Central","Dendrogyra cylindrus",0,0
"7","Oct 2019/Jan 2020","CBC Central","Dichocoenia stokesii",0,5
"8","Oct 2019/Jan 2020","CBC Central","Diploria labyrinthiformis",0,2
"9","Oct 2019/Jan 2020","CBC Central","Eusmilia fastigiata",0,2
"10","Oct 2019/Jan 2020","CBC Central","Favia fragum",0,0
"11","Oct 2019/Jan 2020","CBC Central","Helioseris cucullata",0,0
"12","Oct 2019/Jan 2020","CBC Central","Isophyllia rigida",0,0
"13","Oct 2019/Jan 2020","CBC Central","Isophyllia sinuosa",0,0
"14","Oct 2019/Jan 2020","CBC Central","Madracis decactis",0,1
"15","Oct 2019/Jan 2020","CBC Central","Meandrina meandrites",0,3
"16","Oct 2019/Jan 2020","CBC Central","Montastraea cavernosa",0,9
"17","Oct 2019/Jan 2020","CBC Central","Mycetophyllia aliciae",0,0
"18","Oct 2019/Jan 2020","CBC Central","Mycetophyllia spp.",0,0
"19","Oct 2019/Jan 2020","CBC Central","Orbicella spp.",0,9
"20","Oct 2019/Jan 2020","CBC Central","Porites astreoides",1,92
"21","Oct 2019/Jan 2020","CBC Central","Porites porites",1,39
"22","Oct 2019/Jan 2020","CBC Central","Pseudodiploria clivosa",0,0
"23","Oct 2019/Jan 2020","CBC Central","Pseudodiploria strigosa",0,8
"24","Oct 2019/Jan 2020","CBC Central","Scolymia cubensis",0,0
"25","Oct 2019/Jan 2020","CBC Central","Siderastrea radians",0,1
"26","Oct 2019/Jan 2020","CBC Central","Siderastrea siderea",0,117
"27","Oct 2019/Jan 2020","CBC Central","Stephanocoenia intersepta",0,9
